"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\routes\api.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\laravelshare\routes\auth.php", "PHP", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 60
"c:\laragon\www\laravelshare\routes\channels.php", "PHP", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 19
"c:\laragon\www\laravelshare\routes\console.php", "PHP", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 20
"c:\laragon\www\laravelshare\routes\web.php", "PHP", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 16, 90
"c:\laragon\www\laravelshare\scheduler.bat", "Batch", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\tailwind.config.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 22
"c:\laragon\www\laravelshare\tests\CreatesApplication.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 22
"c:\laragon\www\laravelshare\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 56
"c:\laragon\www\laravelshare\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 66
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 45
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 74
"c:\laragon\www\laravelshare\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 52
"c:\laragon\www\laravelshare\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 33
"c:\laragon\www\laravelshare\tests\Feature\ExampleTest.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\laragon\www\laravelshare\tests\Feature\ProfileTest.php", "PHP", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 100
"c:\laragon\www\laravelshare\tests\TestCase.php", "PHP", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\laragon\www\laravelshare\tests\Unit\ExampleTest.php", "PHP", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 17
"c:\laragon\www\laravelshare\vendor\spatie\ignition\resources\compiled\ignition.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 3
"c:\laragon\www\laravelshare\vendor\spatie\ignition\resources\compiled\ignition.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\laragon\www\laravelshare\vite.config.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"Total", "-", 36, 8674, 49, 3, 62, 392, 29, 10592, 32, 41, 18, 4, 1492, 1664, 23088
